manufacturer_id,name,image,sort_order,store
356,Fortex,catalog/logo/fortex.jpg,0,Divari
357,Econord,,0,Divari
358,Danpharm,catalog/logo/danpharm.png,0,Divari
359,ICONFIT,catalog/logo/iconfit.png,0,Divari
360,"CEMIO SWITZERLAND",catalog/sablonines-nuotraukos/cemio.png,0,Divari
361,"The Doctor",catalog/logo/elfa-pharm.png,0,Divari
363,Altea,catalog/Gamintojai/alteya-logo.png,0,Divari
364,"Medicata Filia",catalog/logo/medicata-logo-ezgif.com-webp-to-jpg-converter.jpeg,0,Divari
365,"Haruharu wonder",catalog/Gamintojai/haruharu-wonder.png,0,Divari
366,Vitaminy,,0,Divari
